type,fr,en,def
mots,Réseau,Network,
mots,Système informatique,Computer system,
mots,Exploitation des réseaux,Network operation,
mots,Réseaux et télécoms,Networks and telecoms,
mots,Infrastructure de systèmes,System infrastructure,
mots,Parc informatique,IT stock,
mots,Service,Help desk,
mots,Application client-serveur,Client-server application,
mots,Installer / Désinstaller,To install;To uninstall,
mots,Redémarrer,To reboot,
mots,Surveillance,Monitoring;Supervision,
mots,Panneau de configuration,Control panel,
mots,Paramètres,Settings,
mots,Logiciel,Software,
mots,Matériel informatique,Hardware,
mots,Imprimante,Printer,
mots,Utilisateur,User,
mots,Serveur,Server;Host,
mots,Sauvegarde,Backup,
mots,Base de données,Database,
mots,Flux de données,Data flow,
mots,Stockage de données,Data storage,
mots,Sécurité des données,Data safety,
mots,Saisie des données,Data recording,
mots,Restauration des données,Data recovery;restoration,
mots,Nettoyage des données,Data cleansing,
mots,Exploration de données,Data mining,
mots,Centre de données,Data center,
mots,Virtualisation des serveurs,Server virtualization,
mots,Machine virtuelle,Virtual machine,
mots,Apprentissage automatique,Machine learning,
mots,Equipement téléphonique,Phone equipment,
mots,Invite de commande,Command prompt,
mots,Poste de travail,Workstation,
mots,Carte mémoire,Memory card,
mots,Carte mère,Motherboard,
mots,Carte son,Sound card,
mots,Processeur central,Central processing unit,
mots,Processeur graphique,Graphics processing unit,
mots,Microprocesseur,Microprocessor;Microchip,
mots,Système d’exploitation,Operating system,
mots,Routeur,Router,
mots,Gestionnaire de périphérique,Device manager,
mots,Mémoire vive,Random access memory (RAM),
mots,Répertoire racine,Root directory,
mots,Exécuter un programme,To run a program,
mots,Protocole,Protocol,
mots,Pare-feu,Firewall,
mots,Nom d’utilisateur,Username,
mots,Mot de passe,Password,
expressions,mettre en production,deploy to production,
expressions,faire un déploiement bleu vert,perform a blue green deployment,
expressions,passer en maintenance,enter maintenance mode,
expressions,redémarrer un service,restart a service,
expressions,arrêter un service,stop a service,
expressions,recharger la configuration,reload configuration,
expressions,mettre à jour,update,
expressions,corriger un bug,fix a bug,
expressions,ouvrir un ticket,open a ticket,
expressions,clôturer un ticket,close a ticket,
expressions,documenter une procédure,document a procedure,
expressions,escalader un incident,escalate an incident,
expressions,résoudre un incident,resolve an incident,
expressions,analyser la cause racine,perform root cause analysis,
expressions,rédiger un post mortem,write a postmortem,
expressions,effectuer une sauvegarde,perform a backup,
expressions,restaurer une sauvegarde,restore a backup,
expressions,vérifier l'intégrité des données,verify data integrity,
expressions,chiffrer les données,encrypt data,
expressions,déchiffrer les données,decrypt data,
expressions,accorder un accès,grant access,
expressions,révoquer un accès,revoke access,
expressions,authentifier un utilisateur,authenticate a user,
expressions,autoriser une requête,authorize a request,
expressions,surveiller les logs,monitor logs,
expressions,analyser des métriques,analyze metrics,
expressions,tailer un fichier de log,tail a log file,
expressions,déployer via pipeline ci,deploy via ci pipeline,
expressions,Déclencher un pipeline,trigger a pipeline,
expressions,annuler un pipeline,cancel a pipeline,
expressions,exécuter des tests unitaires,run unit tests,
expressions,exécuter des tests d'intégration,run integration tests,
expressions,effectuer un test de charge,run a load test,
expressions,purger le cache,purge the cache,
expressions,invalider le cache,invalidate the cache,
expressions,vider un bucket,empty a bucket,
expressions,stocker des fichiers dans un bucket,store files in a bucket,
expressions,créer une instance,create an instance,
expressions,supprimer une instance,delete an instance,
expressions,augmenter la taille d'une instance,increase instance size,
expressions,réduire la taille d'une instance,decrease instance size,
expressions,attacher un disque,attach a disk,
expressions,détacher un disque,detach a disk,
expressions,faire un snapshot,take a snapshot,
expressions,créer une alerte,create an alert,
expressions,paramétrer une alerte,configure an alert,
expressions,basculer sur le serveur de secours,fail over to the standby server,
expressions,revenir sur le serveur principal,fail back to the primary server,
expressions,déployer une correction à chaud,deploy a hotfix,
expressions,mettre hors service une application,decommission an application,
definitions,,backup,"A copy of data stored separately to enable recovery after loss or corruption."
definitions,,firewall,"A network security system that monitors and controls traffic based on predefined rules."
definitions,,server,"A computer that provides services or resources to other computers over a network."
definitions,,router,"A device that forwards data packets between networks."
definitions,,switch,"A device that connects devices within the same network and forwards frames."
definitions,,protocol,"A formal set of rules that define how data is transmitted and received."
definitions,,encryption,"The process of encoding information so that only authorized parties can access it."
definitions,,authentication,"The process of verifying the identity of a user or system."
definitions,,"IP address","A unique numerical label assigned to a device connected to a network."
definitions,,"domain name","A human-readable name that maps to an IP address."
definitions,,"operating system","Software that manages hardware resources and provides services for applications."
definitions,,database,"A system that organizes, stores, and retrieves structured information."
definitions,,"load balancer","A component that distributes incoming traffic across multiple servers."
definitions,,"high availability","Design that minimizes downtime through redundancy and failover."
definitions,,"scale up","To increase resources (CPU/RAM/instances) on a system to handle greater load."
definitions,,"roll back","To revert a system or deployment to a previous working state."
definitions,,"decommission","To permanently retire a system or service from production."
definitions,,incident,"An unplanned interruption or reduction in the quality of an IT service."
definitions,,logs,"Records produced by applications or systems describing events or errors."
definitions,,monitoring,"The practice of observing systems and metrics to detect issues."
definitions,,API,"An interface that allows software components to communicate using defined requests and responses."
definitions,,"microservice","A small, independently deployable service that owns a specific business capability."
definitions,,container,"A lightweight, isolated runtime environment for applications and their dependencies."
definitions,,Kubernetes,"An orchestration system for automating deployment, scaling, and management of containers."
definitions,,"virtual machine","A software emulation of a physical computer that runs an operating system."
definitions,,"cloud computing","On-demand delivery of computing services over the internet with pay-as-you-go pricing."
definitions,,"availability zone","A physically separate data-center location within a cloud region."
definitions,,region,"A geographic area containing multiple availability zones."
definitions,,"content delivery network","A distributed network of servers that delivers content from locations closer to users."
definitions,,latency,"The time it takes for data to travel from source to destination."
definitions,,throughput,"The amount of data processed or transferred per unit of time."
definitions,,bandwidth,"The maximum data transfer capacity of a network link."
definitions,,SLA,"A Service Level Agreement that defines promised service performance and penalties."
definitions,,SLO,"A Service Level Objective that expresses the target level of reliability or performance."
definitions,,cache,"A fast storage layer that holds frequently accessed data to speed up retrieval."
definitions,,"message queue","A component that stores messages so they can be processed asynchronously."
definitions,,"publish-subscribe","A messaging pattern where publishers send events to topics and subscribers receive them."
definitions,,"rate limiting","A technique that restricts the number of requests a client can make in a given time."
definitions,,DNS,"The Domain Name System that translates human-readable names into IP addresses."
definitions,,DHCP,"The Dynamic Host Configuration Protocol that automatically assigns IP configuration to devices."
definitions,,VPN,"A Virtual Private Network that creates an encrypted tunnel over an untrusted network."
definitions,,MFA,"Multi-Factor Authentication requiring two or more verification factors to sign in."
definitions,,SSO,"Single Sign-On allowing a user to access multiple applications with one login."
definitions,,"zero trust","A security model that assumes no implicit trust and verifies every access request."
definitions,,IAM,"Identity and Access Management: processes and tools to manage identities and permissions."
definitions,,RBAC,"Role-Based Access Control where permissions are granted to roles rather than individuals."
definitions,,"secret management","The practice of securely storing and rotating credentials, keys, and tokens."
definitions,,"blue-green deployment","A release strategy that switches traffic between two identical environments."
definitions,,"canary release","A strategy that exposes a small subset of users to a new version to reduce risk."
definitions,,"CI/CD pipeline","An automated pipeline for Continuous Integration and Continuous Delivery/Deployment."
